iter	RMSE
0	14092604.16
1	13950139.32
2	13802428.8
3	13647882.28
4	13497461.99
5	13350630.28
6	13214382.33
7	13078718.91
8	12954275.68
9	12826151.15
10	12693604.01
11	12544033.58
12	12417423.57
13	12293139.17
14	12164922.32
15	12045659.56
16	11913062.95
17	11793562.52
18	11688213.54
19	11579466.68
20	11445838.17
21	11284973.02
22	11159939.5
23	11051416.8
24	10942119.3
25	10823745.35
26	10720309.54
27	10645927.48
28	10543381.68
29	10436799.7
30	10338431.44
31	10246889.07
32	10145090.98
33	10102383.12
34	10006319.22
35	9927473.071
36	9828018.754
37	9716234.157
38	9631436.641
39	9533137.919
40	9433252.772
41	9355748.073
42	9265507.471
43	9176144.09
44	9091643.064
45	8993235.434
46	8916165.759
47	8839431.956
48	8767350.43
49	8677138.999
50	8603432.586
51	8536781.781
52	8459614.016
53	8382389.293
54	8315914.524
55	8237327.717
56	8153646.965
57	8068685.449
58	7980241.759
59	7915156.834
60	7853010.727
61	7781580.93
62	7692643.52
63	7623327.252
64	7544101.161
65	7465947.963
66	7426631.186
67	7379628.38
68	7307958.328
69	7241531.937
70	7168310.862
71	7107076.582
72	7053041.461
73	6987896.479
74	6924909.781
75	6855005.942
76	6794392.224
77	6739425.19
78	6676303.434
79	6622383.099
80	6553589.323
81	6491872.247
82	6453446.95
83	6390590.432
84	6328985.161
85	6276692.291
86	6221722.838
87	6176212.81
88	6135431.193
89	6079058.454
90	6020645.089
91	5961660.133
92	5907616.132
93	5864047.916
94	5802377.839
95	5737014.199
96	5686429.16
97	5648630.305
98	5600986.159
99	5558787.068
100	5514552.497
101	5462492.48
102	5413101.775
103	5370964.27
104	5317858.898
105	5280270.505
106	5257242
107	5211182.979
108	5163750.121
109	5113069.252
110	5070318.278
111	5025867.577
112	4987496.565
113	4948542.48
114	4913162.347
115	4878728.173
116	4841471.147
117	4801574.155
118	4760731.253
119	4721842.633
120	4686300.06
121	4652880.543
122	4622560.595
123	4582471.865
124	4546923.553
125	4511372.91
126	4479719.011
127	4444803.017
128	4408249.718
129	4369541.446
130	4331284.298
131	4313112.862
132	4279747.085
133	4247413.509
134	4214295.817
135	4193177.254
136	4165409.994
137	4130603.073
138	4097471.484
139	4068646.138
140	4040727.949
141	4009948.623
142	3990650.048
143	3961501.91
144	3935208.171
145	3899131.957
146	3869686.498
147	3850434.05
148	3824906.245
149	3791405.866
150	3759509.373
151	3734313.178
152	3707633.963
153	3680405.961
